condition,alpha,domain,ss,n,skipped
baseline,0.0,race,50.968992248062015,516,0
baseline,0.0,profession,66.86046511627907,172,0
baseline,0.0,gender,54.19847328244275,262,0
baseline,0.0,religion,74.28571428571429,105,0
baseline,0.0,overall,56.682464454976305,1055,0
routed_calib,3.559740681557003,race,45.348837209302324,516,0
routed_calib,3.44941179605133,profession,69.76744186046511,172,0
routed_calib,4.055375961538294,gender,55.343511450381676,262,0
routed_calib,4.662501841651136,religion,72.38095238095238,105,0
routed_calib,-1.0,overall,54.502369668246445,1055,0
