condition,alpha,domain,ss,n,skipped
baseline,0.0,race,52.51937984496124,516,0
baseline,0.0,profession,57.55813953488372,172,0
baseline,0.0,gender,57.63358778625954,262,0
baseline,0.0,religion,59.04761904761905,105,0
baseline,0.0,overall,55.26066350710901,1055,0
routed_calib,4.509273194492061,race,34.883720930232556,516,0
routed_calib,3.324236830223219,profession,57.55813953488372,172,0
routed_calib,4.4658424819887035,gender,46.56488549618321,262,0
routed_calib,4.669710949625299,religion,59.04761904761905,105,0
routed_calib,-1.0,overall,43.88625592417062,1055,0
